occupation_id,core_occupation,value_chain,technology,,,,,,,,,,,,,,,,,,,,,,,
196,Maintenance trade - Mechanical,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
197,Mechatronics engineer - Facility,Manufacturing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
198,Business & commercial development specialist,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
199,Cybersecurity specialist,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
200,Data engineer,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
201,Data scientist,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
202,Software developer,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
203,Systems integration specialist,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
204,Environmental specialist,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
205,"Environment, Social, Governance (ESG) analyst",Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
206,Health & safety advisor,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
207,Indigenous relations specialist,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
208,Regulatory analyst and compliance specialist,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
209,Stakeholder engagement and communications specialist,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
210,Sustainability specialist,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
211,Cathodic protection technician,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
212,Coating inspector,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
213,Construction inspector,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
214,Safety codes inspector (also known as: Safety codes officer),Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
215,Welding inspector,Cross Value Chain,Various,,,,,,,,,,,,,,,,,,,,,,,
